Sno,WT1:U-1,WT1:I-1,WT1:P-1,WT1:S-1,WT1:Q-1,WT1:PF-1,WT1:Phi-1,Class,R,pdiff,sdiff,qdiff,rdiff,Device
4045,235.19,6.101,1390,1440,344,0.9708,13.87,30,33.1206872272,0,0,-1,0.0131155898,NN
4046,235.25,6.1,1390,1440,343,0.971,13.83,30,33.1338028169,0,-10,0,0.0017665179,NN
4047,235.13,6.096,1390,1430,343,0.971,13.83,30,33.1355693348,0,10,0,-0.0022078365,NN
4048,235.28,6.101,1390,1440,343,0.971,13.83,30,33.1333614984,0,-10,-2,0.0368542681,NN
4049,235.21,6.091,1390,1430,341,0.9712,13.77,30,33.1702157665,0,10,2,-0.0335960482,NN
4050,235.27,6.1,1390,1440,343,0.9711,13.82,30,33.1366197183,0,0,0,-0.0102994817,NN
4051,235.23,6.101,1390,1440,343,0.971,13.82,30,33.1263202366,0,0,0,-0.0083585249,NN
4052,235.27,6.104,1390,1440,343,0.971,13.82,30,33.1179617117,10,0,0,0.0014076577,NN
4053,235.28,6.104,1400,1440,343,0.9711,13.81,30,33.1193693694,0,0,0,0,NN
4054,235.28,6.104,1400,1440,343,0.971,13.82,30,33.1193693694,0,0,0,-0.0060688768,NN
4055,235.27,6.105,1400,1440,343,0.971,13.83,30,33.1133004926,0,0,1,-0.0158184276,NN
4056,235.29,6.109,1400,1440,344,0.971,13.84,30,33.097482065,0,0,0,0.0046563706,NN
4057,235.29,6.108,1400,1440,344,0.9709,13.85,30,33.1021384356,0,0,0,0.0167918952,NN
4058,235.31,6.105,1400,1440,344,0.9709,13.85,30,33.1189303308,-10,-10,-2,0.0391869184,NN
4059,235.29,6.096,1390,1430,342,0.9712,13.78,30,33.1581172492,0,10,2,-0.0298615825,NN
4060,235.31,6.103,1390,1440,344,0.9709,13.85,30,33.1282556666,0,-10,-2,0.028897258,NN
4061,235.25,6.095,1390,1430,342,0.9711,13.81,30,33.1571529246,0,10,1,-0.0191247556,NN
4062,235.28,6.1,1390,1440,343,0.971,13.83,30,33.138028169,0,-10,-1,0.0205341989,NN
4063,235.26,6.095,1390,1430,342,0.9711,13.81,30,33.1585623679,0,0,0,0.0219735983,NN
4064,235.25,6.09,1390,1430,342,0.9711,13.8,30,33.1805359661,0,0,-1,0.0044294147,NN
4065,234.85,6.077,1390,1430,341,0.9711,13.81,30,33.1849653808,0,0,1,-0.0232110443,NN
4066,235.15,6.091,1390,1430,342,0.9711,13.81,30,33.1617543365,0,0,0,-0.0178096022,NN
4067,235.09,6.093,1390,1430,342,0.971,13.82,30,33.1439447342,0,0,1,-0.0069661548,NN
4068,235.14,6.096,1390,1430,343,0.971,13.83,30,33.1369785795,0,0,-1,0.0037036872,NN
4069,235.1,6.094,1390,1430,342,0.9711,13.81,30,33.1406822667,0,0,0,0.0031823313,NN
4070,234.99,6.09,1390,1430,342,0.9711,13.81,30,33.143864598,0,0,0,-0.0167507311,NN
